CFSAUID,PRUID_fire,PRNAME_fire,LANDAREA_fire,num_wildfires,total_area_burned,avg_area_burned,years_with_fires,fires_per_100km2,burned_percent,PRUID_wind,PRNAME_wind,LANDAREA_wind,num_wind_events,num_tornadoes,avg_max_wind,max_max_wind,avg_path_length_km,avg_path_width_m,wind_events_per_100km2,risk_cluster,risk_label
L0K,35,Ontario,1721.4541,1,75.0,75.0,1,0.0580904248332848,4.356781862496363,35,Ontario,1721.4541,11,2,132.5,180.0,10.555,435.0,0.6389946731661332,0,Low
L3V,35,Ontario,320.9005,1,61.0,61.0,1,0.3116230731955855,19.009007464930715,35,Ontario,320.9005,2,0,,,,,0.623246146391171,0,Low
L3Z,35,Ontario,157.2,1,100.0,100.0,1,0.6361323155216285,63.61323155216285,35,Ontario,157.2,1,0,,,,,0.6361323155216285,0,Low
N0M,35,Ontario,3593.2568,3,252.0,84.0,3,0.0834897188533811,7.013136383684016,35,Ontario,3593.2568,37,10,120.0,155.0,3.64625,145.0,1.029706532525034,2,Medium
N0P,35,Ontario,2849.2033,2,164.0,82.0,2,0.0701950611948259,5.755995017975726,35,Ontario,2849.2033,43,8,131.875,175.0,10.71,356.0,1.5091938156887574,0,Low
N0R,35,Ontario,784.0921,1,44.0,44.0,1,0.1275360381771478,5.611585679794504,35,Ontario,784.0921,14,2,134.375,165.0,7.395,385.0,1.7855045344800695,0,Low
N9C,35,Ontario,8.7536,2,202.0,101.0,2,22.84774264302687,2307.6220069457136,35,Ontario,8.7536,1,1,125.0,125.0,12.3,580.0,11.423871321513436,0,Low
N9J,35,Ontario,49.31,3,267.0,89.0,3,6.083958629081322,541.4723179882377,35,Ontario,49.31,1,0,100.0,100.0,,,2.0279862096937737,0,Low
P0H,35,Ontario,18206.2677,9,3895.0,432.77777777777777,3,0.0494335255764694,21.3937313467054,35,Ontario,18206.2677,12,6,156.42857142857142,190.0,10.663333333333334,405.0,0.0659113674352926,0,Low
P0J,35,Ontario,8531.4233,6,28318.0,4719.666666666667,5,0.0703282417131969,331.9258581390517,35,Ontario,8531.4233,7,3,150.0,190.0,10.186666666666667,470.0,0.082049615332063,0,Low
P0K,35,Ontario,14618.404,9,45777.0,5086.333333333333,7,0.0615662284336922,313.1463598899031,35,Ontario,14618.404,18,13,152.30769230769232,190.0,6.394615384615384,428.46153846153845,0.1231324568673844,2,Medium
P0L,35,Ontario,126824.8916,75,83431.910239435,1112.4254698591335,19,0.059136656104187,65.78512245259826,35,Ontario,126824.8916,12,7,160.0,190.0,5.861428571428571,327.1428571428572,0.0094618649766699,0,Low
P0M,35,Ontario,63926.0532,31,73071.9,2357.158064516129,11,0.0484935303342018,114.30691610412136,35,Ontario,63926.0532,13,7,161.66666666666666,190.0,13.084285714285716,330.0,0.020335996591762,0,Low
P0N,35,Ontario,1654.6428,2,141.0,70.5,2,0.1208720093545265,8.521476659494121,35,Ontario,1654.6428,4,1,143.75,190.0,2.41,170.0,0.241744018709053,0,Low
P0P,35,Ontario,4663.9828,2,128.0,64.0,2,0.042881804795678,2.7444355069233963,35,Ontario,4663.9828,3,0,,,,,0.0643227071935171,0,Low
P0R,35,Ontario,9014.5396,2,1645.0,822.5,2,0.0221863798790123,18.24829745048765,35,Ontario,9014.5396,14,4,157.69230769230768,190.0,5.1125,330.0,0.1553046591530864,0,Low
P0S,35,Ontario,13260.6608,6,7098.0,1183.0,6,0.0452466139545625,53.52674430824744,35,Ontario,13260.6608,6,2,149.0,170.0,8.165000000000001,740.0,0.0452466139545625,0,Low
P0T,35,Ontario,94591.9474,189,365403.729,1933.3530634920637,21,0.1998055914852642,386.2947524008793,35,Ontario,94591.9474,33,19,162.5,190.0,10.588333333333331,461.1111111111111,0.0348866905767921,2,Medium
P0V,35,Ontario,374847.0227,616,1764165.554,2863.9051201298703,20,0.1643337048705869,470.6361387887849,35,Ontario,374847.0227,85,35,163.0,215.0,8.176857142857143,448.57142857142856,0.0226759170681816,2,Medium
P0W,35,Ontario,14646.5332,27,10376.9,384.3296296296296,12,0.1843439647547448,70.84884769864857,35,Ontario,14646.5332,22,10,151.25,190.0,8.022,406.0,0.1502061935038661,2,Medium
P0X,35,Ontario,18785.2943,65,332528.8,5115.827692307692,14,0.3460153403079769,1770.1548599108187,35,Ontario,18785.2943,18,8,150.76923076923077,190.0,11.272857142857143,541.25,0.0958196327006705,0,Low
P7G,35,Ontario,4037.979,2,1553.0,776.5,2,0.0495297276186924,38.459833495914665,35,Ontario,4037.979,5,1,156.25,190.0,2.04,180.0,0.123824319046731,0,Low
R0A,46,Manitoba,6746.509,159,53517.738,336.5895471698113,19,2.356774444383013,793.2656430162622,46,Manitoba,6746.509,9,1,142.5,155.0,,,0.1334023270405479,0,Low
R0B,46,Manitoba,365302.9907,4988,3844838.511,770.8176645950281,21,1.3654418734546647,1052.5067160365843,46,Manitoba,365302.9907,6,4,151.25,170.0,8.2875,220.0,0.0016424721813809,1,High
R0C,46,Manitoba,39343.0403,1407,307019.06200000003,218.208288557214,21,3.5762360744652466,780.3643532856306,46,Manitoba,39343.0403,27,7,145.83333333333334,190.0,4.8075,242.5,0.0686271314929365,0,Low
R0E,46,Manitoba,13766.1928,693,45169.895,65.18022366522366,21,5.03407158441076,328.1219118186402,46,Manitoba,13766.1928,9,3,144.0,190.0,8.63,430.0,0.0653775530442955,0,Low
R0G,46,Manitoba,9685.8031,5,152.60000000000002,30.520000000000003,4,0.0516219455256116,1.5755017774416666,46,Manitoba,9685.8031,21,5,139.0,155.0,1.42,60.0,0.2168121712075687,0,Low
R0H,46,Manitoba,7211.6618,12,35424.73,2952.060833333333,8,0.1663971541205662,491.21452145745377,46,Manitoba,7211.6618,9,3,148.33333333333334,275.0,11.17,1000.0,0.1247978655904246,0,Low
R0J,46,Manitoba,13598.1612,52,25029.721,481.34078846153847,16,0.3824046445338506,184.066953111278,46,Manitoba,13598.1612,19,4,128.0,155.0,3.115,80.0,0.1397247739642915,0,Low
R0K,46,Manitoba,12815.9876,23,2194.548,95.41513043478264,12,0.1794633446742723,17.123518440358044,46,Manitoba,12815.9876,20,11,132.0,190.0,7.28625,401.25,0.1560550823254541,2,Medium
R0L,46,Manitoba,52618.0229,798,386914.548,484.8553233082706,21,1.5165906205115127,735.3270356344004,46,Manitoba,52618.0229,13,6,160.0,190.0,11.545,780.0,0.0247063634920421,0,Low
R0M,46,Manitoba,11233.3874,1,150.0,150.0,1,0.0089020343053423,1.3353051458013458,46,Manitoba,11233.3874,18,2,147.5,260.0,10.6,1390.0,0.1602366174961615,0,Low
R1A,46,Manitoba,433.1044,4,3.823,0.95575,4,0.9235648494912544,0.8826971049012663,46,Manitoba,433.1044,1,0,,,,,0.2308912123728135,0,Low
R5G,46,Manitoba,214.8837,2,44.577,22.2885,2,0.9307360213920368,20.74470981279641,46,Manitoba,214.8837,1,0,,,,,0.4653680106960184,0,Low
R7A,46,Manitoba,632.8509,1,178.327,178.327,1,0.1580151027674923,28.178359231218604,46,Manitoba,632.8509,1,0,,,,,0.1580151027674923,0,Low
R7N,46,Manitoba,1116.0425,4,179.244,44.811,4,0.358409289968796,16.060678692791715,46,Manitoba,1116.0425,1,0,,,,,0.089602322492199,0,Low
